distrito,lat,lon
PUSI,-15.4418571,-69.9293619
QUEHUE,-14.3801173,-71.4553181
QUIACA,-14.4222714,-69.3450165
QUILCAPUNCU,-14.8929648,-69.7302897
ROSASPATA,-15.2344658,-69.527323
SAMAN,-15.2915175,-70.0171834
SAN ANTON,-14.5838277,-70.3172907
SAN ANTONIO,-14.1696426,-72.6232775
SAN GABAN,-13.5396038,-70.40871406701851
SAN JERONIMO,-13.6516487,-73.3659726
SAN JOSE,-14.682016,-70.1602837
SAN JUAN DE LURIGANCHO,-12.0017252,-77.0084106
SAN JUAN DE MIRAFLORES,-12.1628581,-76.9635192
SAN JUAN DE SALINAS,-14.9911593,-70.105616
SAN JUAN DEL ORO,-14.220967,-69.1537388
SAN PABLO,-7.0918959,-78.740251
SAN PEDRO DE PUTINA PUNCO,-14.1119359,-69.0477528
SANDIA,-13.833333,-69.333333
SANTA ANA,-13.0718246,-75.140173
SANTA ANITA,-12.2233828,-76.847707
SANTA LUCIA,-14.2341897,-75.7134669
SANTA RITA DE SIGUAS,-16.4940778,-72.0944241
SANTIAGO,-13.5702931,-71.99201826171165
SANTIAGO DE PUPUJA,-15.0530437,-70.2778239
SICUANI,-14.2729288,-71.2265322
SINA,-14.4961975,-69.2799438
SOCABAYA,-16.4689321,-71.5380726990009
TACNA,-18.01386,-70.2511032
TARACO,-15.2978079,-69.9783213
TARATA,-17.4747154,-70.0320713
TIABAYA,-16.46323865,-71.60488067738989
TIRAPATA,-14.9548166,-70.403177
UMACHIRI,-14.853653,-70.7535804
VELILLE,-14.5101172,-71.8846039
VENTANILLA,-11.88464445,-77.12308031583743
VILAVILA,-15.1882324,-70.6597158
VILQUE,-15.765821,-70.2586427
VILQUE CHICO,-15.157057,-69.6190603792108
YANAQUIHUA,-15.6011306598,-72.4717592378
YORONGOS,-6.139,-77.14422
ALTO SELVA ALEGRE, -16.3631508,-71.51898
AMANTANI, -15.6572,-69.7181
ANDAHUAYLILLAS,-13.6555600,-73.3872200
APLAO,-16.0761, -72.4925
BELLAVISTA,-5.6641700, -78.6772200
CAIRANI,-17.2853, -70.3639
CALAPUJA,-15.31,-70.2217
CALLAO, -12.05659,-77.11814
CALLERIA,-8.38278,-74.5322
CAMANA,-16.625,-72.7117
CAMINACA,-15.3239,70.0747
CAPAZO,-17.1831,-69.7439
CARAVELI,-15.7722,-73.3656
CAYLLOMA,-15.1875,-71.7725
CAYMA,-16.27939415,-71.46031163540326
CCATCA,-13.588052399999999,-71.46266517569799
CHAUPIMARCA,-10.4066063,-76.4617404
CHECCA,-14.4734175,-71.3942846
CHICLAYO,-6.7716146,-79.8387175
CHIMBOTE,-9.0744966,-78.593609
CHORRILLOS,-12.1709478,-77.02126
COCACHACRA,-17.0894045,-71.7592172
COLQUEMARCA,-14.2846792,-72.0407386
CUTURAPI,-16.2700082,-69.177447
DEAN VALDIVIA,-17.10127645,-71.83186917649553
ECHARATE,-12.275823500000001,-72.68868972637563
EL AGUSTINO,-12.0499251,-76.9987104
EL TAMBO,-11.97218,-75.14734222972973
HAQUIRA,-14.2141274,-72.1883066
HUANCAYO,-12.068098,-75.2100953
HUANOQUITE,-13.6816043,-72.0174185
HUARIACA,-10.4420288,-76.1894722
HUAYTARA,-13.6357361,-73.4477289
HUEPETUHE,-12.9944387,-70.5269739
JAQUI,-15.4743329,-74.4415042
JESUS MARIA,-4.8674944,-80.247041
JOSE LUIS BUSTAMANTE Y RIVERO,-16.4331715,-71.5233141473098
KOSNIPATA,-13.11341245,-71.29086177631919
LA JOYA,-14.2686786,-75.684912
LAYO,-14.6263112,-72.1400714
LIVITACA,-14.3125299,-71.6895185
LLOQUE,-16.3239594,-70.7386413
LOS OLIVOS,-11.9915002,-77.0713099
MARCAPATA,-13.5917395,-70.9747666
MARIANO MELGAR,-16.4055966,-71.5072053
MIRAFLORES,-12.1206214,-77.0294993
MOLLENDO,-17.0292533,-72.0155447
MOYOBAMBA,-5.8647644,-77.0357666
NINABAMBA,-13.0895924,-73.916184
OCUVIRI,-15.1137211,-70.9090834
OROPESA,-14.2625992,-72.5543486
PACUCHA,-13.6093405,-73.3438934
PEDRO VILCA APAZA,-15.018024400000002,-69.90404583039762
PILLPINTO,-13.9535853,-71.7608304
POCOLLAY,-17.996399,-70.2198807
RIMAC,-12.0266773,-77.0340939
SALAS,-6.2740246,-79.6057292
SAN LUIS,-9.0943804,-77.3291264
SAN SEBASTIAN,-4.1596614,-70.2882194
SANTIAGO DE SURCO,-12.1278182,-76.9863774
TAHUAMANU,-11.2099268,-70.4766541
TARAPOTO,-6.4877198,-76.3598708
TILALI,-15.5146906,-69.3481332
UNICACHI,-16.2239052,-68.9811036
URUBAMBA,-13.2292798,-72.2646684
VICTOR LARCO HERRERA,-8.1320017,-79.0448398
VILLA EL SALVADOR,-12.2135031,-76.9370262
VILLA MARIA DEL TRIUNFO,-12.1625202,-76.9442751
VITOR,-16.4657583,-71.9353844
WANCHAQ,-13.5293361,-71.95528759583941
YANAHUAYA,-14.2584613,-69.1695213
YARINACOCHA,-8.3548391,-74.5758217
YAUCA,-15.6617792,-74.5275893
AMARILIS,-9.95461025,-76.18008225195292
TAMBOPATA,-12.2436946,-69.6703444
